Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 17:55,9/21/15 18:06,Oakland Ave,Sip Ave,24467,Subscriber,1,1981
9/21/15 18:00,9/21/15 18:08,Sip Ave,McGinley Square,18245,Subscriber,1,1991
9/21/15 18:01,9/21/15 18:08,City Hall,Hamilton Park,24625,Subscriber,2,1981
9/21/15 18:02,9/21/15 18:19,Hilltop,Hilltop,24522,Subscriber,2,1977
9/21/15 18:06,9/21/15 18:11,Grove St PATH,JC Medical Center,24679,Subscriber,1,1977
9/21/15 18:08,9/21/15 18:15,Newark Ave,Hamilton Park,24443,Subscriber,1,1982
9/21/15 18:09,9/21/15 18:21,City Hall,Paulus Hook,24427,Subscriber,1,1962
9/21/15 18:09,9/21/15 18:20,Sip Ave,Lincoln Park,24682,Subscriber,2,1975
9/21/15 18:11,9/21/15 18:16,Grove St PATH,Essex Light Rail,24698,Subscriber,1,1979
9/21/15 18:12,9/21/15 18:21,City Hall,Paulus Hook,24422,Subscriber,2,1960
9/21/15 18:13,9/21/15 18:20,Exchange Place,Essex Light Rail,24452,Subscriber,1,1980
9/21/15 18:13,9/21/15 18:27,Grove St PATH,Baldwin at Montgomery,24518,Subscriber,1,1975
9/21/15 18:14,9/21/15 18:20,Exchange Place,Essex Light Rail,24551,Subscriber,2,1989
9/21/15 18:16,9/21/15 18:20,Van Vorst Park,Grove St PATH,24574,Subscriber,2,1975
9/21/15 18:17,9/21/15 18:45,City Hall,City Hall,24688,Subscriber,1,1988
9/21/15 18:17,9/21/15 18:23,Exchange Place,Grove St PATH,24398,Subscriber,1,1982
9/21/15 18:17,9/21/15 18:25,5 Corners Library,Pershing Field,24379,Subscriber,2,1985
9/21/15 18:19,9/21/15 18:22,Hamilton Park,Hamilton Park,24614,Subscriber,1,1969
9/21/15 18:19,9/21/15 18:27,Grove St PATH,JC Medical Center,24673,Subscriber,2,1986
9/21/15 18:20,9/21/15 18:28,Grove St PATH,Brunswick St,24536,Subscriber,1,1980
9/21/15 18:20,9/21/15 18:29,Grove St PATH,Brunswick St,24482,Subscriber,1,1982
9/21/15 18:21,9/21/15 18:31,Exchange Place,Grove St PATH,24445,Subscriber,1,1984
9/21/15 18:22,9/21/15 18:31,Exchange Place,Grove St PATH,24552,Subscriber,1,1984
9/21/15 18:23,9/21/15 18:25,Newark Ave,Brunswick St,24637,Subscriber,1,1981
9/21/15 18:23,9/21/15 18:29,Hilltop,Christ Hospital,24674,Subscriber,1,1990
9/21/15 18:24,9/21/15 18:35,McGinley Square,City Hall,24489,Customer,0,
9/21/15 18:24,9/21/15 18:26,Van Vorst Park,City Hall,24617,Subscriber,1,1970
9/21/15 18:26,9/21/15 18:48,Hamilton Park,Newport PATH,24678,Subscriber,1,1991
9/21/15 18:26,9/21/15 18:38,Hamilton Park,Hamilton Park,24512,Subscriber,2,1991
9/21/15 18:27,9/21/15 18:33,Grove St PATH,Hamilton Park,24635,Subscriber,1,1981
9/21/15 18:28,9/21/15 18:38,Hamilton Park,Essex Light Rail,24677,Subscriber,1,1970
9/21/15 18:32,9/21/15 18:36,NJCU,West Side Light Rail,24604,Subscriber,1,1976
9/21/15 18:32,9/21/15 18:35,Grove St PATH,Van Vorst Park,24398,Subscriber,1,1985
9/21/15 18:33,9/21/15 18:37,Sip Ave,McGinley Square,24546,Subscriber,1,1972
9/21/15 18:34,9/21/15 18:38,Grove St PATH,Brunswick St,24445,Subscriber,2,1981
9/21/15 18:35,9/21/15 18:46,Central Ave,Riverview Park,24568,Subscriber,1,1970
9/21/15 18:37,9/21/15 18:40,Grove St PATH,Van Vorst Park,24442,Subscriber,1,1978
9/21/15 18:37,9/21/15 18:41,Grove St PATH,Van Vorst Park,24552,Subscriber,1,1988
9/21/15 18:38,9/21/15 18:58,City Hall,City Hall,24450,Customer,0,
9/21/15 18:38,9/21/15 18:44,Brunswick St,Hamilton Park,24670,Subscriber,1,1970
9/21/15 18:38,9/21/15 18:42,Grove St PATH,Van Vorst Park,24632,Subscriber,1,1962
9/21/15 18:39,9/21/15 18:48,Grove St PATH,Brunswick St,24574,Subscriber,2,1992
